"Name","Phone 1 - Value","E-mail 1 - Value","Address 1 - Street","Address 1 - Postal Code","Address 1 - City","Organization 1 - Name","Organization 1 - Department","Group Membership","Notes"
".","5491121768231",NULL,"C. 146 1214, C1884 Berazategui, Provincia de Buenos Aires, Argentina",NULL,NULL,"[Haby] Tatuadores - tattoo studio","Tatuajes","Cliente",NULL
"1 Floor Tienda","5491154042452",NULL,"Bragado 6237, B1875 Wilde, Provincia de Buenos Aires, Argentina",NULL,NULL,"[Haby] Tatuadores - tattoo artist","Tatuajes","Cliente",NULL
"1950 Tattoo Shop","5491165766149",NULL,"BFC, Samuel Miguel Spiro 1075, B1846 Buenos Aires, Provincia de Buenos Aires, Argentina",NULL,NULL,"[Haby] Tatuadores - tattoo shop","Tatuajes","Cliente",NULL
"2.0 Tattoo","5491133349159",NULL,"C. 151 713, B1884 Berazategui, Provincia de Buenos Aires, Argentina",NULL,NULL,"[Haby] Tatuadores - tattoo studio","Tatuajes","Cliente",NULL
"2099 | tatuajes y perforaciones","5491164418793",NULL,"Av. Hipólito Yrigoyen 10699, B1834GTU Temperley, Provincia de Buenos Aires, Argentina",NULL,NULL,"[Haby] Tatuadores - tattoo artist","Tatuajes","Cliente",NULL
"21 STUDIO","5491128387450",NULL,"Laprida 36, Avellaneda, Provincia de Buenos Aires, Argentina",NULL,NULL,"[Haby] Tatuadores - tattoo studio","Tatuajes","Cliente",NULL
"50 Guita Tattoo","5491138522308",NULL,"Evita 375, B1805DOA El Jagüel, Provincia de Buenos Aires, Argentina",NULL,NULL,"[Haby] Tatuadores - tattoo studio","Tatuajes","Cliente",NULL
"509   Tattoo","5491165028799",NULL,NULL,NULL,NULL,"[Haby] Tatuadores - tattoo shop","Tatuajes","Cliente",NULL
"666 Studio Tattoo Quilmes ","5491137038967",NULL,NULL,NULL,NULL,"[Haby] Tatuadores - tattoo shop","Tatuajes","Cliente",NULL
"666 Tattoo Piercing","5491158333425",NULL,"Alsina 326, B1878KLH Quilmes, Provincia de Buenos Aires, Argentina",NULL,NULL,"[Haby] Tatuadores - tattoo studio","Tatuajes","Cliente",NULL
"90 Estudio Tattoo y Piercing","5491127341179",NULL,"Del Campo 350, B1854 Longchamps, Provincia de Buenos Aires, Argentina",NULL,NULL,"[Haby] Tatuadores - estudio de tatuajes","Tatuajes","Cliente",NULL
"99 TATTOO STUDIO","5491167478130",NULL,"R. Boyle 690, B1812 Carlos Spegazzini, Provincia de Buenos Aires, Argentina",NULL,NULL,"[Haby] Tatuadores - tattoo studio","Tatuajes","Cliente",NULL
"? PILI TATTOO ?","5491163561066",NULL,"Saladillo 2354, B1827GCF Ingeniero Budge, Provincia de Buenos Aires, Argentina",NULL,NULL,"[Haby] Tatuadores - tattoo artist","Tatuajes","Cliente",NULL
"A las barbas Tattoo","5491158024791",NULL,"Maipú 425, B1828ALG Banfield, Provincia de Buenos Aires, Argentina",NULL,NULL,"[Haby] Tatuadores - tattoo shop","Tatuajes","Cliente",NULL
"A-CERO","5491168207047",NULL,"Local 6, Galería Central, Av 9 de Julio 1223, B1820 Lanus, Provincia de Buenos Aires, Argentina",NULL,NULL,"[Haby] Tatuadores - tattoo shop","Tatuajes","Cliente",NULL
"A-Cero Estudio","5491168207047",NULL,"Ituzaingó 1366, B1824 Lanús, Provincia de Buenos Aires, Argentina",NULL,NULL,"[Haby] Tatuadores - tattoo shop","Tatuajes","Cliente",NULL
"Abel  Tattoo ","5491127861404",NULL,NULL,NULL,NULL,"[Haby] Tatuadores - tattoo shop","Tatuajes","Cliente",NULL
"Abigail  Tattoo Reyna.tatt2","5491165928051",NULL,NULL,NULL,NULL,"[Haby] Tatuadores - tattoo shop","Tatuajes","Cliente",NULL
